,top 100 features,top 100 feature values
0,6.3.1.12,0.14029858438855453
1,2.4.1.301,0.13289443197966194
2,6.2.1.13,0.11417318767329188
3,2.7.1.27,0.11075265508666617
4,2.1.1.45,0.10919310277545216
5,2.6.1.59,0.10810116024270039
6,2.3.2.17,0.10793149352834464
7,1.8.4.2,0.10719083721536354
8,3.2.1.70,0.10369281634302956
9,3.1.21.4,0.1035468728964503
10,4.3.1.6,0.10189166926676024
11,3.2.1.32,0.1015321007806593
12,1.1.1.287,0.10051535986617607
13,5.1.99.3,0.09993504868109715
14,1.97.1.12,0.09942221795761547
15,2.7.7.49,0.09662056908261846
16,3.4.21.96,0.09361216945629655
17,3.5.3.8,0.09354338303036022
18,2.6.1.29,0.09293731165703964
19,3.5.4.43,0.09142006453306305
20,4.1.1.64,0.09063593487939814
21,6.1.1.24,0.08961302753481218
22,1.14.13.39,0.08940790438464966
23,1.10.3.9,0.08828610881910043
24,3.6.1.17,0.08780906981214809
25,3.4.17.4,0.0868716543464903
26,3.4.17.14,0.08637906204622608
27,3.5.1.82,0.08592736931641767
28,1.11.1.10,0.08405100844593276
29,3.6.3.35,0.08336395408215483
30,4.1.1.39,0.08164930285737501
31,1.14.13.24,0.08032344150386654
32,1.13.11.4,0.07966825724304971
33,3.6.3.9,0.07841803290130682
34,1.1.1.30,0.07838265991621833
35,2.3.2.16,0.07781501842488318
36,5.4.2.3,0.07754023365898835
37,4.1.2.42,0.076656944543807
38,6.3.4.3,0.07579073729820357
39,1.21.98.1,0.07550178982513078
40,6.3.2.49,0.07485909956397982
41,2.3.1.201,0.07457208846079305
42,3.4.22.34,0.07431659546419894
43,2.3.1.28,0.07419432797140546
44,2.3.1.197,0.07407152367197274
45,2.7.1.74,0.07379758125103675
46,2.7.1.200,0.07376154629279139
47,4.2.1.118,0.07360782023049324
48,3.4.22.37,0.07341954120217917
49,4.2.1.109,0.07281090029046289
50,4.2.1.115,0.07234879910255544
51,3.2.2.19,0.07103374688510766
52,3.6.1.11,0.07011022258833935
53,1.2.3.1,0.06996265551885453
54,2.4.1.305,0.06992696575853333
55,2.1.1.11,0.06970616641163457
56,3.5.4.28,0.0685320659800269
57,1.1.1.364,0.06831735681408382
58,1.2.1.24,0.06831735681408375
59,1.20.4.3,0.06831735681408367
60,4.3.1.12,0.0679360294348394
61,4.2.1.53,0.06782075553596892
62,3.2.2.1,0.0678104194611639
63,2.7.1.87,0.06710031428070312
64,3.1.2.23,0.06704084712144097
65,2.3.1.31,0.06621126598772248
66,4.1.2.29,0.06603138768905653
67,4.2.1.151,0.0657755649390103
68,3.2.2.15,0.06560750924818183
69,2.4.1.87,0.06558116702582867
70,1.1.99.8,0.06512010452955333
71,2.7.8.17,0.0651201045295532
72,1.10.9.1,0.06509226505686622
73,3.6.1.34,0.06492046827124795
74,3.5.5.1,0.0646247142068509
75,2.1.1.130,0.06457677367977308
76,5.5.1.1,0.06391198034146249
77,3.3.2.10,0.06387278437052693
78,1.1.98.2,0.06361996360259291
79,1.2.7.8,0.06353180777474154
80,3.1.1.84,0.06345815801603782
81,3.5.1.116,0.06295025532384656
82,3.2.1.103,0.06294890815002373
83,1.1.1.244,0.06293514519825961
84,4.6.1.12,0.062856588342604
85,2.4.1.187,0.062461474867117596
86,3.4.24.76,0.06207870746479045
87,3.4.21.92,0.061864049124666184
88,3.8.1.3,0.061802172705259256
89,2.7.1.95,0.06172534134175451
90,3.5.4.31,0.06157482801927529
91,3.1.1.6,0.06102945157171624
92,3.1.2.29,0.06076599691478174
93,4.3.1.28,0.06072675578571479
94,1.1.1.122,0.06033301340297081
95,7.3.2.2,0.060322122342129955
96,3.2.1.39,0.06024805819085964
97,4.1.2.2,0.06020224220796168
98,3.5.4.13,0.060102037963432636
99,3.2.1.97,0.059922947775567545
