,top 100 features,top 100 feature values
0,MAG(22:5),0.266330058117716
1,PE(P-14:1/18:1),0.24721516141109395
2,MAG(18:0),0.24317638563267818
3,MAG(17:0),0.23855129085529309
4,TAG55:6-FA20:3,0.23209473234556244
5,PC(16:0/14:0),0.22969999298930135
6,TAG56:7-FA16:1,0.20239213517937768
7,PE(P-16:0/16:1),0.20176563202003378
8,LPE(15:0),0.19677792343506767
9,SM(20:1),0.19327926084682104
10,DAG(16:0/20:3),0.1928816556878608
11,TAG53:6-FA18:2,0.1924103626796061
12,FFA(22:0),0.18938622094943985
13,FFA(18:1),0.18641591493776183
14,PE(17:0/18:3),0.17923603767828936
15,HCER(14:0),0.1770122902936731
16,TAG54:0-FA16:0,0.17096066227577678
17,MAG(16:1),0.16966228638020675
18,LPC(20:0),0.1693985128312488
19,TAG53:6-FA18:1,0.1677874186559063
20,PC(18:2/20:3),0.16715978246629346
21,LPC(20:1),0.1631482068437897
22,DAG(16:0/20:5),0.1630571954653388
23,TAG55:5-FA20:4,0.16044652519899646
24,MAG(16:0),0.15927296910035801
25,PE(18:1/22:0),0.1587699868831699
26,HCER(16:0),0.15539378113284769
27,PE(17:0/16:1),0.15371857945437023
28,PE(16:0/17:0),0.15327748490648468
29,MAG(14:0),0.1527970367584594
30,TAG51:4-FA16:0,0.15271935320713204
31,LCER(18:1),0.1514131784256789
32,CER(20:1),0.14827888101983766
33,PE(18:0/20:4),0.14801289068296922
34,LPE(18:1),0.1472992048656769
35,HCER(22:0),0.14516578673091657
36,TAG55:7-FA15:0,0.1451371218812783
37,PE(O-18:0/20:4),0.14402620456821458
38,LPE(16:1),0.14379186044843836
39,FFA(20:4),0.14369751052086654
40,TAG46:4-FA18:2,0.14355355761968505
41,TAG55:6-FA18:1,0.1421975912735678
42,MAG(22:1),0.14011010055750625
43,PE(P-18:0/18:3),0.1385941597831094
44,PE(16:0/15:0),0.13637060858595934
45,PE(P-18:0/18:0),0.1348637121471526
46,MAG(18:4),0.13307060129527376
47,TAG51:2-FA16:1,0.13199551335503945
48,PE(P-18:1/18:0),0.13130162443088142
49,PE(18:0/18:1),0.13033204741411095
50,PE(P-18:1/16:0),0.1302863313434221
51,MAG(12:0),0.13019445085358738
52,SM(18:1),0.12819396907141173
53,PE(P-18:2/18:2),0.12804097827462088
54,DAG(14:0/16:0),0.12638612949107736
55,TAG56:4-FA16:0,0.1259307014300768
56,PE(O-16:0/16:0),0.12430640331486346
57,PI(16:0/18:1),0.12390907219586464
58,DAG(18:0/22:6),0.12345534435229796
59,PE(15:0/18:3),0.12034900157359721
60,MAG(18:1),0.12025840369907201
61,LPE(17:0),0.1202286147844095
62,MAG(24:1),0.1190997596049645
63,TAG53:6-FA20:4,0.11905500966293936
64,PE(P-18:0/16:1),0.11859742718152402
65,PE(16:0/16:0),0.11859650993158123
66,SM(24:0),0.11799521391643047
67,TAG48:2-FA18:0,0.11785560188724298
68,LPE(22:1),0.11632933361996507
69,DAG(16:0/20:4),0.11480770204335564
70,PC(18:2/20:5),0.11467391356753767
71,LPE(16:0),0.11219602339996715
72,CER(18:1),0.11206272105125016
73,PE(18:0/18:0),0.11011889091087362
74,PE(P-14:0/18:1),0.10926306684029716
75,TAG50:5-FA16:0,0.10876335681800073
76,CER(18:0),0.1077576321608858
77,CER(26:0),0.1071282519362581
78,PE(14:0/18:1),0.10693483867792866
79,CE(18:2),0.10649464998743227
80,PI(18:1/16:1),0.10600165991395855
81,TAG46:3-FA18:1,0.10579873222191016
82,PE(O-18:0/16:0),0.104946291742671
83,PC(18:1/18:1),0.10404146776374638
84,PE(14:0/14:0),0.1030998813301969
85,PE(P-18:0/18:2),0.10200097457134658
86,TAG46:3-FA14:1,0.09925953369854067
87,PE(18:2/18:3),0.09874743461608054
88,PE(P-18:0/18:1),0.09869741770923171
89,TAG46:3-FA18:2,0.09851408455012761
90,TAG52:8-FA16:1,0.09847435183640951
91,TAG53:3-FA18:0,0.09828898326994556
92,TAG58:10-FA20:5,0.09828466170491665
93,TAG58:5-FA18:1,0.09823102267057832
94,DCER(18:1),0.09806375583076798
95,TAG55:6-FA20:4,0.09755146973000861
96,PC(18:2/20:4),0.09667281275553065
97,TAG56:7-FA22:4,0.09666907742160646
98,FFA(24:0),0.0962304953649196
99,DCER(26:0),0.0956732937179399
