TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,sensitiveSample_26,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40
CER(16:0),4.0082,2.4643,2.1974,2.0316,1.0902,0.7913,2.0824,0.4395,1.1887,3.8026,1.01,1.9154,1.0996,5.455,5.3496,3.4887,3.5242,5.3514,0.1125,1.9123,0.1125,0.1776,1.7771,0.9603,1.0229,0.5381,0.5532,1.1355,0.2746,1.5759,0.6736,2.0409,0.5004,2.2042,0.329,3.9769,0.6162,1.0572,0.4942,0.2627,0.2639,0.9544,0.4267,0.4204,0.4079,1.6259,1.0156,5.3536,0.4971,0.9116,0.6559,1.0887,0.4133,0.854,0.8321,6.5891,0.1517,0.9956,0.2611,0.7657,0.4668,0.7861,0.7805,0.5333,0.406,2.0586
CER(20:0),4.0512,1.9962,2.553,3.9829,0.9053,0.9543,1.9401,0.6029,1.0292,5.0783,1.0208,1.963,1.1906,4.0162,3.2309,3.8196,1.7419,10.8936,0.1576,1.1761,0.1783,0.2451,2.6701,1.5784,1.8722,1.0077,0.6806,0.9507,0.5877,2.0044,0.5806,1.4891,0.7493,2.0224,0.4067,5.3841,1.1156,1.9527,0.8899,0.5136,0.3355,0.5503,0.6278,0.5003,0.3304,2.1067,1.631,3.4623,0.7746,0.7248,0.4962,0.9083,0.2881,0.9923,0.788,12.1579,0.4661,0.6344,0.6157,1.7208,0.5373,1.2353,0.9664,0.7222,0.4491,1.0594
CER(22:1),3.2141,1.7998,4.4974,9.2275,0.7032,1.4369,1.1205,0.4748,1.6409,3.7651,0.8266,4.9895,2.1769,2.6099,2.4056,5.9517,2.2695,3.5598,0.3225,1.0345,0.3457,0.3225,1.7226,1.1279,3.242,1.0285,0.664,0.6601,0.5204,1.6481,0.8885,1.097,0.9226,2.4738,0.7743,2.2912,0.7922,3.2741,0.769,0.4899,0.6332,0.8637,1.244,0.535,0.5076,0.9938,1.0893,2.2367,0.8373,0.6418,0.5289,0.7556,0.4399,1.8537,1.002,4.1447,0.4114,0.5716,0.5791,0.8131,0.7821,1.5785,1.1131,0.9522,0.5126,0.8855
CER(24:0),3.5581,3.3577,3.7989,3.6904,0.8651,0.8746,2.0209,0.3321,1.4688,2.8866,0.9714,2.0885,1.1615,5.5381,2.5512,3.9047,3.0611,4.8922,0.1319,2.1156,0.1319,0.1568,1.2001,1.1544,1.5255,0.9027,0.5951,0.6416,0.3216,2.2815,0.5357,1.8369,0.7872,2.7408,0.4088,5.5244,0.6846,1.5907,0.5749,0.27,0.2386,0.7651,0.5093,0.2547,0.3706,1.721,1.14,5.0871,0.7706,0.7402,0.4946,1.0286,0.3431,1.8496,0.6974,8.8444,0.1827,0.6827,0.3183,0.8913,0.4756,1.1252,1.1695,0.7525,0.428,1.4756
HCER(26:0),3.8029,3.0318,1.2518,3.4672,1.0371,1.1529,1.8025,1.5665,2.4619,6.472,1.0214,2.2459,1.8171,2.3177,2.6622,2.1091,0.6782,6.4893,0.1908,1.4222,0.2888,0.1908,5.6364,0.4328,1.5507,1.8133,1.6288,2.4525,0.5589,1.2286,0.8112,1.9365,0.3849,1.2256,0.2778,2.2206,0.8582,1.2637,0.6259,0.3831,0.2574,0.5389,0.5406,0.7741,0.406,1.4571,1.2321,5.0615,0.4513,1.2993,0.3678,1.0423,0.5131,0.5559,0.5889,7.5772,0.7351,0.5117,0.5762,0.5091,0.6676,1.7056,0.6351,0.7091,0.5444,1.3448
LCER(14:0),3.2356,5.2117,1.3157,2.5022,1.9974,0.8291,2.7417,1.0935,1.0016,1.9964,2.5241,1.9586,1.0929,4.0501,3.3192,2.1461,1.1867,5.3719,0.2751,2.8305,0.2959,0.3084,1.1586,0.8855,1.4118,0.555,0.6828,1.1949,0.4813,0.9517,0.8108,3.6505,0.7752,1.5022,0.4377,3.0875,0.7103,1.1464,0.4388,0.4334,0.7133,0.7531,0.5812,0.5032,0.7321,2.4102,1.4964,1.5513,0.6281,0.6534,0.4447,1.0386,0.6678,1.0358,0.4908,4.8821,0.4879,0.6517,0.5259,0.4582,0.6995,1.0243,0.8275,0.6422,0.5227,2.4691
LCER(18:0),1.5647,36.8354,0.9883,5.3938,4.9795,1.55,3.0189,2.2705,0.7262,1.1013,3.1002,6.105,0.6128,7.995,3.0336,1.8885,2.8922,13.5924,0.1923,5.6236,0.2792,0.2245,0.7696,1.0296,3.0682,0.658,1.3808,0.5222,0.6868,0.565,0.3071,3.9548,0.8197,0.9498,0.4206,10.1868,1.2579,2.5753,0.3485,0.2206,0.21,1.0758,0.5441,0.2009,0.6401,5.0206,1.2408,0.5099,0.9561,0.3032,0.3195,1.7874,0.2935,1.392,0.4611,13.7471,0.3706,0.3948,0.2671,0.3536,0.283,1.6781,1.4794,0.3168,0.4083,4.8031
LCER(20:0),4.5757,13.0573,2.0467,6.8207,3.2763,1.4017,4.7861,1.1364,1.0891,3.422,3.5349,4.7648,0.6771,7.7816,3.4474,3.1944,1.3759,11.7013,0.1882,4.333,0.1882,0.2268,0.9815,1.3374,2.8978,0.683,0.9927,0.969,0.635,0.6069,0.7118,5.1416,1.0964,0.8226,0.3938,8.4702,1.0073,2.5559,0.2683,0.2887,0.3585,0.7495,0.6256,0.2521,0.9199,5.8596,1.0545,0.938,0.7364,0.4197,0.4094,1.789,0.3709,0.7749,0.6163,10.1528,0.3953,0.528,0.3202,0.4367,0.4788,1.3485,1.3769,0.5095,0.5423,3.3394
LCER(20:1),5.937,2.5695,2.2853,1.9742,1.1405,1.192,1.625,0.5695,1.7813,3.7245,1.2311,1.9841,1.2925,2.9715,2.5255,3.3692,0.9583,4.0174,0.2746,1.9266,0.3478,0.2746,2.0949,0.696,0.9507,0.6688,0.5809,1.6166,0.4056,0.901,1.4265,2.1708,0.6498,1.5125,0.4054,2.2146,0.7887,1.0811,0.4237,0.4323,0.6582,0.8861,0.4762,0.5082,1.4923,1.8487,1.2284,2.0652,0.5887,0.6666,0.6718,0.9091,0.5777,1.2294,0.5662,3.144,0.5107,0.5615,0.5322,0.6213,0.6832,1.3013,0.8974,0.8285,0.6629,1.668
LCER(22:0),1.7683,17.6495,0.8185,11.1694,6.0438,1.7763,10.2474,0.8573,1.0572,1.1674,9.3383,7.8662,0.4436,12.6404,3.3833,4.3218,2.3107,9.7101,0.1393,10.3695,0.1393,0.1509,0.6453,1.6541,3.2686,0.5123,0.8705,0.6834,0.4618,0.5324,0.4089,10.6742,1.8318,1.166,0.7649,10.9438,1.0422,2.9009,0.1926,0.1739,0.1419,1.3826,0.7663,0.1476,0.5367,9.1877,1.1266,0.5938,0.6907,0.2668,0.3571,1.937,0.4095,1.3872,0.466,7.8383,0.2367,0.5033,0.1608,0.2224,0.3596,1.655,1.6351,0.349,0.214,6.8893
