,TaxoName,Diets
0,CE(14:1),"['all', 'AAndBS', 'BS']"
1,CE(18:3),"['all', 'AAndBS', 'BS']"
2,CER(16:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
3,CER(18:0),"['all', 'AAndBS', 'BS']"
4,CER(20:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
5,CER(22:0),"['all', 'AAndBS', 'BS']"
6,CER(22:1),"['all', 'AAndBS', 'BAndBS', 'BS']"
7,CER(24:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
8,CER(24:1),"['all', 'AAndBS', 'BS']"
9,DAG(16:1/18:3),"['all', 'A', 'AAndBS', 'BS']"
10,DCER(22:0),"['all', 'AAndBS', 'BS']"
11,FFA(18:0),"['all', 'AAndBS']"
12,FFA(18:1),"['all', 'AAndBS', 'BS']"
13,FFA(20:0),"['all', 'AAndBS', 'BS']"
14,FFA(20:1),"['all', 'AAndBS']"
15,FFA(22:0),"['all', 'AAndBS']"
16,HCER(22:1),"['all', 'AAndBS', 'BS']"
17,HCER(26:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
18,HCER(26:1),"['all', 'AAndBS', 'BS']"
19,LCER(14:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
20,LCER(16:0),"['all', 'AAndBS', 'BS']"
21,LCER(18:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
22,LCER(18:1),"['all', 'AAndBS', 'BS']"
23,LCER(20:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
24,LCER(20:1),"['all', 'AAndBS', 'BAndBS', 'BS']"
25,LCER(22:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
26,LCER(22:1),"['all', 'AAndBS', 'BAndBS', 'BS']"
27,LCER(24:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
28,LCER(24:1),"['all', 'AAndBS', 'BS']"
29,LCER(26:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
30,LCER(26:1),"['all', 'AAndBS', 'BAndBS', 'BS']"
31,LPC(16:0),"['all', 'A', 'AAndBS']"
32,LPC(18:0),"['all', 'AAndBS', 'BS']"
33,LPC(18:1),"['all', 'A', 'AAndB', 'AAndBS']"
34,LPC(18:2),"['all', 'AAndBS']"
35,LPE(15:0),"['all', 'AAndB', 'AAndBS', 'BAndBS', 'BS']"
36,LPE(16:0),"['all', 'AAndB', 'AAndBS', 'BAndBS', 'BS']"
37,LPE(16:1),"['all', 'AAndB', 'AAndBS']"
38,LPE(17:0),"['all', 'A', 'AAndBS', 'BAndBS', 'BS']"
39,LPE(18:0),"['all', 'AAndBS']"
40,LPE(18:1),"['all', 'A', 'AAndB', 'AAndBS']"
41,LPE(20:1),"['all', 'AAndBS']"
42,MAG(15:0),"['all', 'AAndBS', 'BAndBS', 'BS']"
43,MAG(16:0),"['all', 'AAndBS']"
44,MAG(16:1),"['all', 'A', 'AAndB', 'AAndBS', 'BS']"
45,MAG(17:0),"['all', 'AAndBS']"
46,MAG(18:0),"['all', 'AAndBS']"
47,MAG(18:3),"['all', 'AAndBS', 'BS']"
48,MAG(20:0),"['all', 'A', 'AAndBS', 'BS']"
49,MAG(20:1),"['all', 'AAndBS', 'BS']"
50,MAG(20:2),"['all', 'AAndBS', 'BS']"
51,MAG(20:3),"['all', 'AAndBS', 'BS']"
52,MAG(20:5),"['all', 'AAndBS', 'BS']"
53,MAG(22:1),"['all', 'AAndBS', 'BS']"
54,MAG(22:5),"['all', 'AAndBS']"
55,MAG(24:0),"['all', 'AAndBS', 'BS']"
56,PC(16:0/16:0),['all']
57,PE(16:0/15:0),"['all', 'AAndBS', 'BS']"
58,PE(16:0/16:1),"['all', 'AAndBS', 'BS']"
59,PE(O-16:0/16:0),"['all', 'AAndBS', 'BS']"
60,PE(P-16:0/16:1),"['all', 'AAndBS']"
61,PE(P-18:1/16:0),"['all', 'AAndBS']"
62,SM(18:0),"['all', 'AAndBS']"
63,SM(18:1),"['all', 'AAndBS']"
64,SM(22:1),['all']
