TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,0.5702,1.7244,0.1886,0.1886,0.1886,0.7264,1.2982,0.3211,0.1886,0.1886,1.0837,0.1886,0.1886,0.1886,0.1886,0.1886,10.7399,0.1886,0.5935,0.1886,0.62,0.1886,0.1886,1.0013,0.1886,0.9899,1.0,0.19,1.8416,0.1886,2.1436,1.2649,0.1886,0.5626,0.6223,0.6345,0.3917,0.1886,0.3862,1.5641,1.7085,0.8102,0.2939,0.5615,1.8026,1.3509,1.6039,0.7688,1.8645,1.8521,2.563,0.1886,1.2936,0.1886,0.1886,0.7615,1.1754,0.1886,1.813,1.9473,1.7102,10.3723,0.1886,0.1886,1.1552
2-aminophenol,0.2805,1.3867,2.3971,0.572,0.7852,4.2347,1.5766,1.3408,0.2805,0.5467,1.6292,0.2805,0.2805,0.2805,0.2805,0.4913,0.4186,0.8497,0.7799,0.8695,0.6513,0.2805,0.6845,0.2805,0.2805,1.137,1.3416,0.2805,0.5358,0.6457,1.1574,16.8833,0.2805,1.2507,2.2448,2.474,2.1087,0.6039,3.4337,3.0592,2.7136,0.8522,0.2805,1.9011,0.9055,1.0377,0.69,1.3269,0.769,0.83,0.6047,2.3783,4.7064,0.8295,4.2568,1.575,2.0711,0.5336,0.4492,0.9292,3.4417,0.8031,1.6899,1.7021,0.9927
3-methyladipate,0.4983,1.1765,1.4226,0.4219,1.0046,1.2015,1.224,1.2458,1.2308,5.952,0.2707,0.1199,0.9985,0.1199,0.6165,0.1199,0.3136,1.1904,0.3194,0.3719,0.6551,0.341,0.8374,0.4773,0.4187,0.6522,16.9934,15.91,0.7713,35.7569,0.2829,10.6109,0.5251,1.0225,0.691,15.0317,1.419,0.6077,33.9213,2.72,0.8628,0.5832,1.0237,0.9954,1.0,0.6326,10.3891,43.6604,0.789,33.9932,0.5877,12.0374,1.9748,1.2097,2.7468,19.7624,0.1199,0.5205,15.1021,1.6821,0.1199,0.9031,1.5434,1.1049,0.7233
"5alpha-androstan-3alpha,17beta-diol disulfate",0.3033,0.2911,0.2911,0.2911,8.4829,0.2911,0.5095,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,1.2627,0.2911,0.2911,0.2911,8.487,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911,0.2911
alpha-tocopherol,1.6366,0.5013,0.9888,0.277,0.6353,1.0483,0.9349,1.2263,1.0512,0.833,0.6546,0.9572,1.2171,0.6686,0.8232,0.684,0.7699,0.6725,0.4929,0.5977,1.0181,0.2409,0.7272,0.7612,0.9268,1.6761,1.1921,1.1479,1.6572,1.8663,0.6799,2.3987,1.2958,0.8636,2.0423,1.3019,1.2283,1.216,0.8329,0.5814,0.7729,1.0252,1.1781,0.7728,0.7569,1.4454,1.1676,1.2482,2.5646,1.2261,0.8235,1.7345,0.6481,0.6094,0.9873,0.9145,1.2215,1.8503,1.2363,0.997,0.313,0.8499,2.8392,1.4001,0.4638
alpha-tocotrienol,1.652,0.3986,1.4006,0.0344,1.3396,0.8812,0.903,1.3741,1.0771,1.4025,0.1641,0.507,1.3797,0.1497,1.8597,0.5094,0.1381,1.0209,0.0962,0.6137,0.2582,0.0353,0.339,0.0821,0.2778,1.146,1.2732,2.5426,1.0277,1.7678,1.4741,3.2481,2.6768,0.9987,1.4611,0.7712,1.5435,1.0116,1.6509,1.2595,1.2199,0.5412,2.1589,0.825,0.5094,0.5194,2.474,0.2396,1.5024,0.7182,1.3594,2.4108,1.0349,0.7508,3.9887,1.0211,1.0139,3.5906,0.4941,1.0013,0.2417,0.0692,1.0221,1.6996,1.2136
"androstenediol (3beta,17beta) disulfate (2)",1.9097,1.6973,3.2207,0.7398,0.5301,0.0941,2.4975,0.08,0.0454,0.0454,0.3419,2.719,0.9374,2.1334,1.7638,4.5417,1.4108,0.9727,0.7016,1.0273,0.0454,0.2395,0.0454,0.1282,2.1064,0.7036,0.0454,0.0454,0.6782,0.0454,0.7426,0.1224,0.5889,1.3157,1.5113,0.082,0.5305,0.0454,0.0454,0.0454,0.0867,1.0639,0.0454,0.0454,1.4819,0.8306,0.0454,0.0454,0.8005,0.0454,0.739,0.0454,0.3873,1.2416,1.0926,0.0454,0.3869,0.0454,0.0614,0.0454,0.0454,1.6484,0.0454,0.0454,1.5738
azelate (nonanedioate; C9),0.3688,0.8226,0.6674,0.2752,0.8032,1.0578,0.9308,0.9991,5.6494,0.5806,0.914,0.8184,0.7439,0.0894,0.9313,0.5547,0.4572,0.992,0.4881,0.7393,0.7733,0.4762,0.7567,0.6148,1.1445,1.0212,3.4011,1.1144,1.3916,3.9282,0.2621,2.9354,0.8022,3.1663,1.0642,1.1994,1.0289,0.7039,5.1838,1.4911,0.9818,0.5986,4.3258,1.0582,1.0,1.2035,4.1492,1.9672,1.2507,1.8455,0.249,3.1088,0.4707,2.5292,0.8556,1.3693,1.3811,0.9267,1.1188,2.0135,0.0794,0.3118,2.5638,1.1356,0.9304
ergosterol,0.1768,7.0682,0.3498,1.4667,2.2348,0.5832,6.0643,0.1768,4.5999,0.7711,0.4466,6.1224,0.8566,2.2365,8.0458,0.8104,0.1768,4.585,1.8472,3.4985,0.8976,1.5048,0.8476,1.3107,0.223,0.1768,0.8532,0.1768,5.4631,0.1768,0.3356,1.7814,3.0981,0.5418,9.9063,0.1768,1.0045,0.1768,0.1768,0.1768,0.1768,1.0,0.1768,0.7663,0.6067,0.1768,0.8385,0.1768,1.7174,0.1768,0.6584,0.1768,7.6005,0.1768,0.8146,0.1768,0.9422,0.1768,0.1768,0.1768,0.746,0.839,0.1768,0.2721,1.6283
gluconate,7.6947,2.7673,0.7761,1.6001,0.686,3.2987,1.0043,0.6042,4.8567,6.0759,39.0896,2.0925,0.3853,4.9247,6.8172,0.9028,5.9203,0.3231,2.5414,1.6866,1.6652,2.4983,0.2007,1.0967,0.9854,0.3092,0.277,0.3706,0.3896,0.7118,1.7849,1.3291,0.2421,4.0377,10.9737,5.8137,0.3535,0.3266,0.3507,0.4877,0.2118,0.3725,0.6843,0.2806,6.2453,1.8135,0.4201,0.4452,1.2675,0.6767,8.428,0.7816,0.9538,0.7538,1.2309,0.3681,0.8551,0.2005,2.0757,0.3868,3.2436,3.0645,0.2437,0.5731,0.7425
