TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,sensitiveSample_14,sensitiveSample_15,sensitiveSample_16,sensitiveSample_17,sensitiveSample_18,sensitiveSample_19,sensitiveSample_20,sensitiveSample_21,sensitiveSample_22,sensitiveSample_23,sensitiveSample_24,sensitiveSample_25,sensitiveSample_26,sensitiveSample_27,sensitiveSample_28,sensitiveSample_29,sensitiveSample_30,sensitiveSample_31,sensitiveSample_32,sensitiveSample_33,sensitiveSample_34,sensitiveSample_35,sensitiveSample_36,sensitiveSample_37,sensitiveSample_38,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20,tolerantSample_21,tolerantSample_22,tolerantSample_23,tolerantSample_24,tolerantSample_25,tolerantSample_26,tolerantSample_27,tolerantSample_28,tolerantSample_29,tolerantSample_30,tolerantSample_31,tolerantSample_32,tolerantSample_33,tolerantSample_34,tolerantSample_35,tolerantSample_36,tolerantSample_37,tolerantSample_38,tolerantSample_39,tolerantSample_40,tolerantSample_41,tolerantSample_42,tolerantSample_43,tolerantSample_44,tolerantSample_45,tolerantSample_46,tolerantSample_47,tolerantSample_48,tolerantSample_49,tolerantSample_50,tolerantSample_51,tolerantSample_52,tolerantSample_53,tolerantSample_54,tolerantSample_55,tolerantSample_56,tolerantSample_57,tolerantSample_58,tolerantSample_59,tolerantSample_60
(N(1) + N(8))-acetylspermidine,0.0777,7.7746,4.2598,0.072,2.161,1.7501,0.6514,0.6739,3.3404,0.129,2.327,0.2431,0.2182,12.1655,7.3334,5.5424,6.6811,5.9897,5.1155,2.2526,0.7452,3.322,0.0818,8.1249,0.1319,2.175,0.5762,8.8856,2.7691,16.6043,0.865,0.2501,0.6263,9.0319,2.2066,1.6486,0.249,0.1449,0.1398,0.5272,0.2367,0.3001,0.3764,1.4587,2.1136,1.4555,0.9997,2.1707,0.0586,0.0615,1.1221,1.1234,1.3264,2.9409,0.2712,0.4432,0.1432,11.5404,1.5166,0.5414,0.5794,0.3221,0.3191,0.479,0.7114,0.0586,1.3129,8.8108,5.7056,4.1471,0.1228,0.3991,10.715,4.4638,0.2922,1.045,0.1383,1.6087,0.3768,0.1772,0.2859,0.2435,0.5206,1.068,5.1629,0.4027,0.7926,1.523,1.726,2.0058,14.0301,0.7593,0.4052,0.6771,0.1843,0.8981,1.1901,1.0003
"1,7-dimethylurate",0.4362,5.6688,0.7955,2.6918,3.8657,0.0758,2.0734,2.1187,0.36,0.0758,0.4173,0.0758,0.5885,0.4032,1.7277,2.8278,2.0517,2.715,9.2919,2.895,4.1707,6.6134,5.0417,0.8654,0.0758,2.1345,2.5379,0.5976,0.4355,0.0758,0.0758,0.0758,0.0758,0.793,0.0758,0.0758,0.0758,0.8892,0.0758,4.8755,0.0758,4.9415,0.0758,1.231,0.6475,2.0382,0.6223,0.4379,0.0758,0.0758,2.0782,0.0758,0.0758,1.053,0.0758,0.553,2.06,1.2254,0.2175,0.0804,0.0758,0.4165,0.0758,0.0758,3.0675,3.9475,0.0758,0.0758,0.1146,0.0786,1.8008,0.6758,0.0758,0.0947,0.0758,0.0758,0.1916,1.0,0.0758,0.0758,0.0758,0.0758,0.3771,0.2089,0.1134,2.0468,0.0758,0.0758,0.3793,4.3088,0.0758,0.0758,0.0758,1.2775,0.4154,1.368,1.2905,0.0758
1-methylhypoxanthine,0.96,1.0604,1.181,2.2976,1.7253,1.038,1.5559,0.1617,0.0511,0.0511,1.8434,0.1031,1.0115,2.3571,2.8943,0.951,3.179,1.8517,3.0868,0.7016,7.4264,2.6009,1.8808,1.3314,0.0644,0.2094,0.6953,1.0278,0.0511,2.7177,0.3826,0.0511,0.0511,2.8131,5.9962,0.0511,3.2806,2.0896,0.0511,0.0511,0.2017,1.0,0.148,3.4437,2.9022,1.9498,0.1033,0.7484,0.2569,0.0511,0.0819,0.0511,0.0511,1.8875,0.2574,0.0511,0.7526,1.4776,0.0974,0.0511,0.2693,0.1572,0.0511,0.2286,0.975,0.4019,0.1159,1.1776,4.5724,6.1377,0.1011,0.2557,1.7626,0.7484,0.0511,0.0647,1.3505,0.4983,0.1076,0.1444,0.1461,0.0511,1.1753,0.3041,0.3845,0.4361,0.0511,0.0537,1.7762,1.8905,1.4775,0.0518,0.0511,0.0511,2.9208,2.1377,1.3504,0.6448
1-methylnicotinamide,4.2541,0.7703,1.2414,8.7143,0.449,0.2417,0.2417,0.5172,0.2417,0.2417,0.2417,4.3391,3.6226,3.141,4.7925,0.2417,0.2417,2.2174,1.5706,0.2417,215.3362,0.3556,0.328,2.155,0.2417,0.2641,0.283,0.2659,0.2417,0.2417,0.9562,0.2417,0.2417,0.2417,0.2417,0.2417,5.3199,4.5487,0.2417,0.2417,0.2417,0.4956,0.2417,0.2417,0.9567,0.2417,0.261,0.5296,2.3805,0.2417,0.4045,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.8799,3.0159,1.0732,0.2417,0.2417,0.2417,0.2417,0.2417,1.4027,0.253,0.2417,0.2417,10.228,7.731,1.0,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.664,0.2417,0.3135,0.2417,0.2417,0.2417,0.2417,0.4119,0.2417,0.2417
1-methylurate,0.1818,18.4272,0.8399,9.7303,4.9134,0.0874,1.3449,0.4356,0.0218,0.0333,4.2081,1.6099,1.0,0.1209,0.1273,5.1515,1.4153,1.5648,1.233,13.867,37.9542,4.3641,5.1072,0.2865,0.2259,10.9823,9.9525,0.2705,0.0218,0.0323,0.0324,0.0727,0.1029,0.636,1.0,0.2737,0.8081,4.2682,0.0218,0.0218,0.0354,4.4377,0.0218,2.0189,0.7118,2.6529,0.0218,1.9907,0.794,0.0686,0.0218,0.0218,0.0218,0.5741,0.5308,0.0218,5.1707,1.2039,0.0218,0.0218,0.0218,0.0218,0.0272,0.0543,1.0787,4.4929,0.0218,1.7586,0.9762,3.767,2.8557,1.1202,1.1907,2.6814,0.0827,0.0218,0.9213,5.7594,0.1317,0.0218,0.0218,0.0426,1.916,0.0478,0.1532,0.0218,0.2139,0.0218,0.5462,1.4932,0.783,0.0218,0.0218,0.1116,1.8397,1.0776,1.4083,2.59
1-methylxanthine,2.6021,3.6942,3.4523,2.6826,4.7582,0.6453,4.2852,1.4864,0.3595,0.0723,1.9161,1.7776,4.0596,2.4155,3.4192,9.4138,14.5845,4.4109,7.3402,2.3967,4.462,7.7683,5.6503,0.795,0.1365,2.9563,3.8111,3.1173,0.1111,1.7152,0.3826,0.08,0.1177,2.2543,3.8946,0.165,2.6597,6.1418,0.2236,0.3222,0.1967,3.1295,0.169,4.1233,1.3895,5.3823,0.3968,2.8358,0.1745,0.1186,0.188,0.2252,0.189,3.9668,0.1245,0.1451,2.6874,4.6371,0.4407,0.2818,0.3315,0.2496,0.1751,0.3646,2.6338,2.0505,0.2211,0.3291,3.9028,2.5394,0.0754,0.1561,2.2014,2.549,0.0825,0.2696,3.2146,3.2086,0.2028,0.1301,0.2711,0.1371,1.8247,0.4163,0.6098,0.5692,0.1528,0.2468,0.3888,6.3154,1.0,0.2129,0.1307,0.4452,4.2737,3.5748,3.7786,1.8996
1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,0.5339,1.5674,0.3689,0.3689,1.1269,3.917,0.7967,0.6473,0.3689,0.3689,0.3689,0.3689,0.6403,2.0602,3.1275,0.6077,0.3689,0.3689,0.6205,3.963,14.9708,0.6273,0.3689,3.6906,0.6612,0.621,0.9378,1.0793,0.3689,0.3689,0.4239,1.2593,0.4182,1.13,0.3689,0.3689,0.3689,0.7484,0.8945,0.7414,0.4742,2.5039,0.9254,5.0874,13.4005,0.3689,0.5214,1.4382,1.0359,0.5,0.3689,0.7039,1.9828,3.6134,0.5101,1.9708,0.8081,0.3689,5.4819,0.8927,1.3296,0.5134,0.3689,9.8871,4.8238,1.3456,0.7774,1.7581,5.6973,6.3153,1.2033,0.8112,1.166,1.7555,0.3689,0.9976,1.4329,0.9337,0.6695,0.3689,0.7055,0.7237,0.3689,1.7119,1.1317,0.3689,1.7348,0.8653,5.3699,1.6823,1.8503,1.9382,0.7659,0.6695,0.6358,1.6834,0.4251,2.7165
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,0.5702,1.7244,0.1886,0.1886,0.1886,0.7264,1.2982,0.3211,0.1886,0.1886,1.0837,0.1886,0.1886,0.1886,3.2315,0.1886,0.9543,0.1886,0.1886,10.7399,2.8734,0.1886,0.1886,0.5935,0.4919,0.1886,0.4596,0.62,0.1886,0.1886,0.7332,0.1886,0.2179,1.0013,0.1886,0.1886,0.1886,0.1886,0.9899,1.0,0.19,1.8416,0.1886,2.1436,1.2649,0.1886,0.5626,0.6223,0.6345,0.3917,0.1886,0.3862,1.5641,1.7085,0.8102,0.2939,0.5615,1.8026,1.3509,0.7106,1.6039,0.7001,0.7688,1.9518,1.8645,0.3838,1.8521,0.6777,2.563,1.4623,0.1886,0.5002,1.2936,1.3368,0.1886,0.9159,0.1886,0.1886,0.7615,1.0416,1.1754,1.2145,0.1886,0.6122,1.813,0.1886,1.9473,2.1955,1.7102,1.2386,10.3723,2.3073,0.1886,0.1886,0.1886,1.1438,1.1552,2.2166
11-ketoetiocholanolone sulfate,0.7487,0.3219,1.9546,0.6295,0.5403,1.5317,0.3219,0.5937,0.3219,0.3219,0.3219,0.4045,0.3219,0.3219,1.5127,0.3219,0.3219,3.7902,2.5542,1.1669,0.8331,1.2807,1.4474,1.7619,0.3219,0.3219,0.3219,0.3219,0.3219,0.5589,0.3219,0.3219,0.3219,0.3219,0.3219,0.4176,0.3219,0.3219,0.5616,0.3219,0.3219,0.3219,0.3219,0.3219,0.6865,1.8403,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,1.3227,0.3219,0.3219,0.3219,0.3219,1.5087,3.239,0.3219,0.3219,0.3219,0.3219,0.8004,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,1.5312,1.6511,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.5208,0.3219,0.6371,0.3497,0.3219,0.3219,0.3219,3.045,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219
2'-deoxyguanosine,0.1918,3.2174,1.2309,3.9935,1.8355,0.896,0.9964,1.0281,0.2244,0.5821,6.0936,1.2927,0.1389,3.3407,2.4845,0.2342,0.3172,1.8774,1.9466,5.2619,8.452,1.9363,1.4555,8.7795,0.3938,0.3092,1.7398,0.914,1.2478,9.0148,0.4524,0.492,0.8177,8.626,1.67,0.6847,1.8747,0.1389,0.4278,0.195,0.4576,1.1146,0.2043,3.1355,0.818,3.1369,0.4441,0.6018,0.6138,0.7169,0.414,0.4605,1.2075,0.7541,1.2115,0.5707,0.3794,1.2703,0.5897,0.4195,0.1811,0.1389,0.1749,0.1389,0.362,0.5754,1.2222,8.1955,2.2416,3.9956,2.1594,0.7077,5.026,5.2281,0.4208,1.7899,0.2171,0.5316,0.3864,1.2733,3.4231,1.0239,0.4772,1.4028,2.0459,0.3824,1.3196,0.5578,1.524,0.6937,2.9657,0.2137,0.1858,1.2083,0.3039,0.1891,0.5766,1.2984
