,TaxoName,Diets
0,Bifidobacterium_bifidum,['all']
1,Olsenella_profusa,['all']
2,Olsenella_scatoligenes,['all']
3,Collinsella_intestinalis,['all']
4,Collinsella_stercoris,['all']
5,Enorma_massiliensis,['all']
6,[Collinsella]_massiliensis,['all']
7,Adlercreutzia_equolifaciens,['all']
8,Asaccharobacter_celatus,['all']
9,Denitrobacterium_detoxificans,['all']
10,Enterorhabdus_caecimuris,['all']
11,Slackia_isoflavoniconvertens,"['all', 'AAndBS']"
12,Thermoleophilum_album,['all']
13,Bacteroides_massiliensis,['all']
14,Bacteroides_plebeius,['all']
15,Kouleothrix_aurantiaca,['all']
16,Streptococcus_salivarius,"['all', 'AAndBS']"
17,Clostridium_disporicum,['all']
18,Clostridium_sp_CAG_299,['all']
19,Eubacterium_sp_CAG_180,['all']
20,Eubacterium_sp_CAG_251,['all']
21,Roseburia_hominis,['all']
22,Oscillibacter_sp_CAG_241,['all']
23,Intestinibacter_bartlettii,['all']
24,Romboutsia_ilealis,"['all', 'AAndB', 'AAndBS', 'BAndBS']"
25,Coprobacillus_cateniformis,['all']
26,Clostridium_spiroforme,['all']
27,Turicibacter_sanguinis,['all']
28,Phascolarctobacterium_succinatutens,['all']
