AscensionNum	TaxoName	pValue	fdrCorrectedpVal	CohenEffectSize	foldChanges	Log2_FC	Mean0_tolerant	mean1_sensitive	sensitiveSample_1	sensitiveSample_2	sensitiveSample_3	sensitiveSample_4	sensitiveSample_5	sensitiveSample_6	sensitiveSample_7	sensitiveSample_8	sensitiveSample_9	sensitiveSample_10	sensitiveSample_11	sensitiveSample_12	sensitiveSample_13	sensitiveSample_14	sensitiveSample_15	sensitiveSample_16	sensitiveSample_17	sensitiveSample_18	sensitiveSample_19	sensitiveSample_20	sensitiveSample_21	sensitiveSample_22	sensitiveSample_23	sensitiveSample_24	sensitiveSample_25	sensitiveSample_26	sensitiveSample_27	sensitiveSample_28	sensitiveSample_29	sensitiveSample_30	sensitiveSample_31	sensitiveSample_32	sensitiveSample_33	sensitiveSample_34	sensitiveSample_35	sensitiveSample_36	sensitiveSample_37	sensitiveSample_38	tolerantSample_1	tolerantSample_2	tolerantSample_3	tolerantSample_4	tolerantSample_5	tolerantSample_6	tolerantSample_7	tolerantSample_8	tolerantSample_9	tolerantSample_10	tolerantSample_11	tolerantSample_12	tolerantSample_13	tolerantSample_14	tolerantSample_15	tolerantSample_16	tolerantSample_17	tolerantSample_18	tolerantSample_19	tolerantSample_20	tolerantSample_21	tolerantSample_22	tolerantSample_23	tolerantSample_24	tolerantSample_25	tolerantSample_26	tolerantSample_27	tolerantSample_28	tolerantSample_29	tolerantSample_30	tolerantSample_31	tolerantSample_32	tolerantSample_33	tolerantSample_34	tolerantSample_35	tolerantSample_36	tolerantSample_37	tolerantSample_38	tolerantSample_39	tolerantSample_40	tolerantSample_41	tolerantSample_42	tolerantSample_43	tolerantSample_44	tolerantSample_45	tolerantSample_46	tolerantSample_47	tolerantSample_48	tolerantSample_49	tolerantSample_50	tolerantSample_51	tolerantSample_52	tolerantSample_53	tolerantSample_54	tolerantSample_55	tolerantSample_56	tolerantSample_57	tolerantSample_58	tolerantSample_59	tolerantSample_60
ASN3	Actinobaculum_sp_oral_taxon_183	0.44242178	0.63636319	0.114597186	0.447538752	-1.159915487	0.0011245	0.002512632	0.00254	0	0	0	0.03473	0	0	0	0	0.00539	0	0	0	0.01575	0.0269	0	0	0	0	0	0	0	0.00849	0	0	0	0	0.00168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03646	0	0	0	0	0	0	0	0	0	0.00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01035	0	0	0.00251	0.00639	0	0	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0.0064	0	0.00389	0
ASN4	Actinomyces_graevenitzii	0.111557299	0.477731007	0.266104397	0.116992779	-3.095508609	0.001674167	0.01431	0.0309	0	0	0	0	0.00526	0	0	0	0.03494	0	0	0	0.06545	0.0661	0	0	0	0.11266	0	0	0	0	0	0	0	0.01907	0	0	0	0	0	0	0	0.17881	0.03059	0	0	0	0	0	0	0	0.00963	0	0	0	0.03479	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0.00798	0	0	0	0	0	0	0.01969	0	0	0	0	0	0	0	0.01568	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0.00926	0	0
ASN5	Actinomyces_johnsonii	0.208912382	0.477731007	0.130256512	0	#NUM!	0	0.003143684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN6	Actinomyces_massiliensis	0.426135255	0.628316216	0.082495791	inf	#VALUE!	7.17E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN7	Actinomyces_meyeri	0.208912382	0.477731007	0.130256512	0	#NUM!	0	0.000136579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN8	Actinomyces_naeslundii	0.527698622	0.717812267	0.113896264	3.360020768	1.74847015	0.000567667	0.000168947	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194	0	0	0	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01049	0	0	0	0.00088	0.00533	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01225	0	0	0	0	0	0	0	0	0.00249	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN9	Actinomyces_odontolyticus	0.052353157	0.360531564	0.000227197	1.001177336	0.001697538	0.022676667	0.02265	0.03378	0.00698	0	0	0.01253	0	0	0.00449	0	0.08013	0	0	0	0.07995	0.09665	0	0	0	0.01178	0	0	0	0	0	0	0	0.01589	0.00199	0.00508	0	0	0.01279	0	0	0.46282	0.03263	0	0.00321	0.00382	0	0.00291	0	0.00591	0.03744	0	0.03598	0.00782	0.03716	0	0.04193	0.11098	0	0	0.01296	0.0286	0.0062	0	0	0	0.21498	0	0.02135	0	0	0.00798	0.00324	0	0	0.02485	0	0	0	0.01021	0.01304	0.00695	0	0.01299	0	0.02959	0.04351	0.00545	0	0.06291	0.08723	0	0	0.00743	0.0111	0.0044	0.02145	0	0.00721	0.05076	0.05732	0.2286	0.04294	0.0534	0
ASN10	Actinomyces_oris	0.098190865	0.445720332	0.030748121	1.158091029	0.211748657	0.007861	0.006787895	0.00878	0	0	0	0.01184	0	0	0.00074	0	0.06839	0	0	0	0.03424	0	0	0	0	0.00187	0	0	0	0	0	0	0	0.00075	0	0	0	0	0.01042	0	0	0.10888	0.01203	0	0	0	0	0	0	0	0.00182	0	0.01044	0.00378	0.01769	0.03566	0	0.00852	0	0	0	0.05529	0.00637	0	0	0	0.04503	0	0.01395	0	0	0	0	0	0	0	0	0	0	0	0.01313	0.00766	0	0.01169	0.00063	0.04889	0.06886	0	0	0.01479	0.00858	0	0	0.00369	0.00663	0	0.00789	0	0.02142	0	0.00804	0.03091	0.00352	0.01678	0
ASN11	Actinomyces_sp_HMSC035G02	0.095385471	0.442939428	0.097867674	0.496177878	-1.01107068	0.005656167	0.011399474	0.00709	0	0	0	0.01342	0	0	0	0	0.06277	0	0	0	0.02497	0.0386	0	0	0	0	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0.27068	0.01329	0	0.00134	0	0	0	0	0.00244	0.00467	0	0.01495	0	0.01249	0	0.00763	0.0243	0	0	0	0.01004	0	0	0	0	0.07473	0	0.01379	0	0	0.00374	0	0	0	0.01172	0	0	0	0.00433	0.00341	0	0	0.01369	0	0.01237	0.0192	0.00286	0	0.02887	0.02313	0	0	0	0	0.00123	0.00084	0	0.00205	0.00766	0.00558	0.01921	0	0.01444	0
ASN12	Actinomyces_sp_HPA0247	0.294904594	0.561988001	0.085978738	1.802316111	0.84985207	0.0018635	0.001033947	0	0	0	0	0	0	0	0	0	0.0237	0	0	0	0.0012	0.00303	0	0	0	0.01136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283	0	0	0	0	0	0	0.00145	0	0	0	0.00986	0	0	0	0	0.01431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01076	0.02322	0	0	0.00796	0.00695	0	0	0	0	0	0	0	0.00294	0	0.00565	0.02588	0	0	0
