"","alphaDiversity","groups"
"3003A",2.61863459477382,"tolerant"
"3004A",2.11648387183845,"sensitive"
"3005A",3.13855756527441,"tolerant"
"3007A",2.97118041143283,"sensitive"
"3008A",3.2020541720717,"sensitive"
"3009A",2.73002828748451,"tolerant"
"3012A",3.07253585311568,"sensitive"
"3013A",2.35417009915931,"tolerant"
"3014A",3.0660526148286,"sensitive"
"3016A",2.76428900267476,"sensitive"
"3020A",3.14641906735816,"tolerant"
"3021A",3.2941669308966,"sensitive"
"3022A",3.03265164334025,"sensitive"
"3023A",2.89602548656924,"tolerant"
"3025A",3.00509424911888,"sensitive"
"3026A",3.29115565821167,"sensitive"
"3027A",3.28478089346556,"tolerant"
"3028A",3.37040919390382,"tolerant"
"3029A",2.70091526339553,"sensitive"
"3030A",3.36272661558839,"tolerant"
"3031A",2.11668865842943,"tolerant"
"3032A",3.4861447047729,"tolerant"
"3033A",3.05937889454718,"tolerant"
"3036A",2.12276929205963,"tolerant"
"3037A",3.13149241311765,"tolerant"
"3039A",3.33751941503655,"tolerant"
"3042A",2.72844169697806,"tolerant"
"3043A",2.49484855883075,"tolerant"
"3044A",2.47879447236319,"tolerant"
"3046A",2.99976660340986,"sensitive"
"3048A",2.29870790847377,"tolerant"
"3049A",3.15317098184924,"tolerant"
