"","alphaDiversity","groups"
"3003B",3.22517277651498,"tolerant"
"3004B",3.04581798166259,"sensitive"
"3005B",3.19675535224021,"tolerant"
"3007B",2.4542793882519,"sensitive"
"3008B",3.16996941820143,"sensitive"
"3009B",2.22867705345459,"tolerant"
"3012B",2.99414766344125,"sensitive"
"3013B",2.85314974788105,"tolerant"
"3014B",2.79515680732491,"sensitive"
"3016B",3.25014027447784,"sensitive"
"3020B",3.22775306905333,"tolerant"
"3021B",3.24651378830196,"sensitive"
"3022B",3.1442734848592,"sensitive"
"3023B",2.92862212706809,"tolerant"
"3025B",3.21514724349379,"sensitive"
"3026B",3.44626766635784,"sensitive"
"3027B",3.04573463225837,"tolerant"
"3028B",2.81591237591398,"tolerant"
"3029B",2.32327638158776,"sensitive"
"3030B",3.41809190517279,"tolerant"
"3031B",3.00101735778824,"tolerant"
"3032B",3.45033255197304,"tolerant"
"3033B",3.1042837099682,"tolerant"
"3036B",2.99797558744733,"tolerant"
"3037B",3.39872946219294,"tolerant"
"3039B",3.28741002767336,"tolerant"
"3042B",3.30874803372841,"tolerant"
"3043B",3.16035905048747,"tolerant"
"3044B",3.22094146006273,"tolerant"
"3046B",1.9718519457738,"sensitive"
"3047B",3.03200646965444,"sensitive"
"3048B",3.16294213255458,"tolerant"
"3049B",2.79043787898055,"tolerant"
