# Gene Family	3003A	3004A	3005A	3007A	3008A	3009A	3012A	3013A	3014A	3016A	3020A	3021A	3022A	3023A	3025A	3026A	3027A	3028A	3029A	3030A	3031A	3032A	3033A	3036A	3037A	3039A	3042A	3043A	3044A	3046A	3048A	3049A
1.1.1.1	1913.221	5754.311	2125.861	1423.784	1833.506	535.459	1002.084	1805.528	4798.334	1415.618	1355.516	2643.67	4813.28	2060.53	798.113	3076.866	4099.562	3412.433	437.225	2374.997	16376.603	2601.36	666.242	1889.158	1954.497	2260.987	2002.999	3578.068	1311.407	3910.118	1963.9	6046.064
1.1.1.100	7670.641	5783.436	4425.496	4843.239	4593.622	1081.941	3573.397	2832.062	12272.217	3673.143	3221.763	6026.997	8473.749	6004.536	2199.305	6484.635	8053.98	7059.403	858.336	5875.186	25023.366	5228.602	2302.358	2661.795	5277.909	5467.732	4363.967	4164.837	1019.763	7283.399	2360.885	9346.74
1.1.1.103	953.747	791.538	1335.739	1112.746	488.938	312.686	949.479	1920.068	2485.399	401.033	693.51	1917.702	1787.464	1214.539	220.522	2404.935	1745.386	991.772	129.879	1136.801	11579.477	813.037	927.814	489.914	1225.181	1024.516	338.969	975.843	326.249	470.903	663.188	2569.174
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.094	0	10.298	0	7.488	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	94.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.814	0	0	0	3788.592	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.213	0	0	0	0	0	0	0	0	0	0
1.1.1.122	293.363	168.692	55.236	666.97	315.014	7.579	767.286	238.69	306.965	362.343	342.793	498.859	260.553	953.862	15.119	188.809	1437.092	377.035	0	279.164	87.557	34.991	746.041	0	1245.508	376.829	26.55	709.167	11.458	6.331	6.24	0
1.1.1.125	0	0	15.843	24.627	0	0	0	46.83	4.899	4.239	15.995	7.002	37.377	6.276	0	37.09	93.241	89.682	0	22.503	706.876	15.167	0	0	17.476	0	0	12.854	16.617	25.385	23.915	130.334
1.1.1.127	75.332	0	148.269	141.279	11.077	0	11.065	207.801	49.521	64.936	81.118	387.574	690.082	75.657	40.084	660.279	398.988	28.674	0	142.518	5447.461	48.971	12.064	0	29.128	0	109.332	20.375	0	31.013	33.972	2384.51
1.1.1.130	59.778	13.668	87.296	112.845	29.088	0	7.003	138.32	109.126	22.939	117.725	624.822	666.002	22.582	0	381.94	419.662	47.971	0	84.273	6928.573	50.954	43.833	50.88	8.147	14.339	112.219	40.668	141.138	22.002	177.5	1460.321
1.1.1.131	507.838	197.314	168.989	920.324	726.704	63.351	1105.105	654.458	161.022	379.641	686.671	1223.477	471.262	1400.102	46.72	693.94	660.171	635.742	33.619	495.074	374.563	220.124	437.606	94.78	1508.72	540.624	68.756	941.102	197.437	179.606	300.946	58.535
1.1.1.132	13.716	85.28	41.873	81.301	135.641	59.354	78.112	12.605	0	13.31	9.914	0	21.379	28.207	13.638	52.958	289.073	41.175	0	112.866	2849.978	28.32	5.558	45.195	0	5.964	2.082	8.619	43.683	0	0	105.177
1.1.1.133	6257.807	3330.742	4069.757	5596.506	3569.935	1781.408	5650.348	3568.066	7829.041	5286.501	4243.745	5324.397	4807.734	7061.324	1924.237	4915.805	4794.393	4300.164	685.217	5312.684	2582.874	4670.471	3099.81	2939.345	5742.558	4355.102	4039	4344.79	1306.247	4651.022	2224.683	4449.549
1.1.1.135	0	0	0	0	0	0	0	0	16.914	0	0	49.756	0	0	0	0	0	10.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.136	81.166	162.39	0	215.319	0	0	230.346	74.878	22.656	0	46.303	187.252	204.203	100.341	0	122.808	69.247	19.804	0	31.347	382.655	0	29.253	0	137.076	0	0	0	15.464	0	0	0
1.1.1.14	3988.504	3190.485	2221.291	2086.557	1865.735	961.258	1325.237	2134.582	8869.742	1503.286	1544.313	3899.121	4475.615	2553.242	1405.033	3587.817	5672.287	4096.548	484.287	3207.959	10419.231	3692.545	1171.934	1238.672	2789.587	3165.68	1322.607	3700.039	366.07	5237.478	602.385	7070.574
1.1.1.140	132.578	247.352	99.891	151.123	99.014	86.127	109.007	193.239	502.396	75.817	130.309	554.485	932.198	253.452	96.654	806.387	720.262	432.299	23.627	231.039	5487.227	383.329	50.317	29.98	289.925	308.539	268.499	388.792	19.404	449.469	78.557	2170.56
1.1.1.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.154	74.802	105.711	46.992	113.498	10.586	0	0	255.109	63.556	6.628	14.641	277.164	294.489	39.219	0	326.377	318.871	7.56	0	122.915	3037.377	35.072	0	47.918	0	12.033	72.148	17.401	0	30.671	58.692	1168.667
1.1.1.157	467.752	1053.264	463.955	349.573	351.758	280.357	246.17	494.434	2201.011	256.017	325.84	1108.352	620.271	577.878	199.844	955.58	1011.549	1198.143	112.456	710.545	5118.498	840.336	386.52	325.51	470.675	562.966	716.688	441.486	50.794	887.122	80.936	1082.706
1.1.1.159	76.251	0	15.742	277.837	0	0	41.713	25.29	59.155	240.428	38.891	205.087	247.337	59.824	12.94	140.737	304.545	3.03	0	28.735	3319.114	13.713	353.557	5.205	379.809	7.112	30.303	10.347	0	42.945	22.753	309.198
1.1.1.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.794	0	0	0	0	0	0	0	25.356	0	0	0
